itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
13857,BL80517,,13552,"The Camomile Lawn. Disc 1(157 mins), Disc 2(107 mins)","WILHIDE, GLENN",2013-02-07
13858,BL80023,,13553,"Edge Of Darkness. Disc 1, Disc 2",,2013-02-06
13859,BL80643,,13554,"Lee Evans-So What Now?, Series 1: Disc 1:Side A, Side B, Disc 2",,2013-02-07
13862,BL80592,,13558,"Norman Wisdom Double Bill: Disc 1- Trouble In Store(82 mins), Disc 2-Up In The World(87 mins)","COWAN, MUARICE",2013-02-05
13863,BL80600,,13558,"Norman Wisdom Double Bill: Disc 1- Trouble In Store(82 mins), Disc 2-Up In The World(87 mins)","COWAN, MUARICE",2013-02-07
13867,BL80633,,13560,"Norman Wisdom: double bill Disc 1-The Square Peg(86 mins), Disc 2-Follow A Star(90 mins)","STEWART, HUGH",2013-02-07
13868,BL80596,,13561,"Norman Wisdom double bill: Disc 1-The Early Bird (94 mins), Disc 2- Press For Time(98 mins)","STEWART, HUGH",2013-02-07
13869,BL80598,,13561,"Norman Wisdom double bill: Disc 1-The Early Bird (94 mins), Disc 2- Press For Time(98 mins)","STEWART, HUGH",2013-02-07
13871,BL80593,,13562,"Norman Wisdom: double bill. Disc 1-The Bulldog Breed(94 mins), Disc 2-One Good Turn(89 mins)","STEWART, HUGH",2013-02-07
13872,BL80634,,13562,"Norman Wisdom: double bill. Disc 1-The Bulldog Breed(94 mins), Disc 2-One Good Turn(89 mins)","STEWART, HUGH",2013-02-06
13874,BL82139,,13564,"Lawrence Of Arabia. Disc 1, Disc 2",,2012-08-09
13877,BL80465,,13566,"Space 1999- Vol 1","ANDERSON, SYLIVA",2013-02-06
13878,BL80466,,13567,"Space-1999, Vol 2","ANDERSON, SYLIVA",2013-02-06
13879,BL80467,,13568,"Space - 1999, Vol 3","ANDERSON, SYLIVA",2013-02-06
13880,BL80468,,13569,"Space - 1999, Vol 4","ANDERSON, SYLIVA",2012-09-14
13881,BL80469,,13570,"Space - 1999, Vol 5","ANDERSON, SYLIVA",2013-02-06
13882,BL80470,,13571,"Space - 1999, Vol 6","ANDERSON, SYLIVA",2013-02-06
13887,BL81984,,13575,"The Life Of Birds: The Complete Series, Disc 1, Disc 2, Disc 3","BARTON, MILES",2013-06-20
13888,BL82034,,13576,"Eye of the Needle",,2012-08-18
13889,BL80032,,13577,"The Stepford Wives",,2013-02-06
13890,BL80075,,13578,"Reach For The Sky",,2011-03-14
13891,BL80555,,13579,"Secret Agent","Hitchcock, Alfred",2013-02-05
13894,BL80478,5037115032232,13581,"Doctor in trouble","Box, Betty E.",2013-02-06
13895,BL80166,,13582,"Death becomes her",,2013-02-06
13896,BL80168,,13583,DeathWatch,,2011-09-15
13897,BL80169,,13584,"Doctor Who:The Visitation","Turner, John Nathan",2013-02-06
13899,BL80173,,13586,"The Count of Monte Cristo","Reynolds, Kevin",2013-02-06
13900,BL80174,,13587,Possession,"Weinstein, Paula",2013-02-06
13902,BL80177,,13589,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","BBC Worldwide Ltd",2013-02-06
13903,BL80178,,13590,"The Green Man and School for Scoundrels","Lauder, Frank & Gillay,Sidney",2013-02-06
13904,BL80179,,13591,Concoy,"Sherman, Robert M",2013-02-06
13905,BL80180,,13592,"A Handful of dust","Granger, Derek",2013-01-19
13906,BL80182,,13593,"Death on the Line","Brabourne, John & Goodwin, Richard",2011-03-14
13907,BL80184,,13594,Cromwell,"Allen, Irving",2013-02-06
13908,BL80186,,13595,"Dark Crystal","Henson, Jim",2013-02-06
13911,BL80192,,13598,"Doctor in Distress","Box, Betty E.",2012-09-14
13914,BL80193,,13599,"Doctor in Clover","Box, Betty E.",2013-02-06
13916,BL80194,,13600,Moonraker,"Broccoli, Albert G.",2013-02-06
13917,BL80199,,13601,"Sydney 2000: Official Highlights","International Olympic Committe",2013-02-06
13918,BL80204,,13602,"A Private Function","Shivas, Mark",2013-02-06
13919,BL80206,,13603,"Truly Madly Deeply","Cooper, Robert",2013-02-06
13920,BL80208,,13604,"Peepng Tom","Powell, Michael",2011-03-14
13921,BL80209,,13605,"The Best of Morecambe & Wise","Ammonds, John",2013-02-06
13922,BL80210,,13606,"The Actors","Woolley, Stephen",2011-03-14
13923,BL80214,,13607,"A Man for all Seasons","Zinneman, Fred",2013-02-06
13924,BL82735,,13607,"A Man for all Seasons","Zinneman, Fred",2012-04-22
13925,BL80216,,13608,"Small Faces","Mackinnon, Billy",2013-02-06
13926,BL80218,5017188882729,13609,"The Talented Mr.Ripley","Horberg, William",2012-11-30
13928,BL80220,,13610,"Women Talking Dirty","Brabourne, John",2011-03-14
13929,BL80222,,13611,"In Which We Serve","Coward, Noel",2013-02-06
13933,BL80234,,13615,"Under Milk Wood","Thomas, Dylan",2013-02-06
13934,BL80236,,13616,"Mike Bassett: England Manager","Peplow, Neil",2013-02-06
13937,BL80241,,13619,"Doctor at Large","BOS, BETTY E.",2013-02-06
13938,BL80523,,13619,"Doctor at Large","BOS, BETTY E.",2013-02-07
13941,BL80242,,13620,She,"CARRERAS, MICHAEL",2013-02-06
13942,BL80244,,13621,"Lawn Dogs","KENWORTHY, DUNCAN",2013-02-06
13943,BL80245,,13622,"Fawlty Towers: Series 2","ARGENT, DOUGLAS",2012-06-16
13945,BL80249,,13624,"Tiny Planets: Bing & Bong's Chills and Thrills","Montessori centre International",2013-02-06
13947,BL80255,,13626,"Absolutley Fabulous","SPIERS, BOB",2013-02-06
13949,BL80264,,13628,"Carry on Teachers","ROGERS, PETER",2012-09-14
13951,BL80266,,13630,"Thomas and Friends: Engines to the rescue","FEHRLE, PHIL",2013-02-06
13955,BL80276,,13634,"Doctor in the House","BOX, BETTY E.",2013-02-06
13959,BL80279,,13637,"Double Jeopardy","GOLDBERG, LEONARD",2013-02-06
13960,BL80280,,13638,"Twin Town","ALLEN, KEVIN",2013-02-06
13961,BL80281,,13639,"The Snowman","COATES, JOHN",2013-02-06
13963,BL80284,,13641,"The Wrong arm of the Law","BARING, AUBREY",2013-02-06
13965,BL80288,,13642,"Tweenies: Music is Pop-a-rooney","Tell-Tale Productions",2012-09-01
13966,BL80289,,13643,"Tom Cruise: Vanilla Sky","CRUISE, TOM",2013-02-06
13968,BL80293,,13645,"This Happy Breed","COWARD, NOEL",2013-02-06
13969,BL80294,,13646,Croupier,"HODGES, MIKE",2013-02-06
13970,BL80295,,13647,"Man about the House","JONES, PETER FRAZER",2013-09-25
13972,BL80299,7321900380836,13649,"The Colditz Story","FOXWELL, Ivan",2013-02-06
13973,BL80300,,13650,"Carry On Camping","ROGERS, PETER",2013-02-05
13976,BL80311,,13653,"Biggles: Adventures in Time","HOUGH, JOHN Oliver, Pom",2013-02-06
13977,BL80312,,13654,BlackBall,"SMITH, MELL",2013-02-06
13979,BL80316,,13656,"Being There","BRAUNSBERG, ANDREW",2013-02-06
13980,BL80317,,13657,"Balamory: Mysteries with PC Plum",CBBC,2013-02-06
13982,BL80319,,13659,"The British Empire in Colour","BINNS, STEWART",2012-09-01
13986,BL80323,,13663,"The Abominable Dr. Phibes","HEYWARD, LOUIS M",2013-02-06
13989,BL80329,,13665,"Blithe Spirit","COWARD, NOEL",2013-02-06
13990,BL80330,,13666,"The Brothers","SCOTT, DARIN",2013-02-06
13991,BL80331,,13667,"Billy Lair","JANNI, JOSEPH",2013-02-06
13994,BL80334,,13669,Anastasla,"ADLER, BUDDY",2013-02-06
13996,BL80342,5021123107228,13671,"Never the twain","Jones-Frazer, Peter",2013-02-06
13997,BL80343,,13672,"George & Wildred","Starring: Yootha Joyce, Brian",2013-02-06
13998,BL80345,,13673,"Buon O Malone","PARKER, ALAN",2013-02-06
13999,BL80346,,13674,"The Avengers","WEINTRAUB, JERRY",2013-02-06
14001,BL80357,,13677,"Relative Values","MILBURN, CHRISTOPHER",2013-02-06
14002,BL80353,,13678,"Brighton Rock","BOULTING, ROY",2013-02-06
14006,BL80362,,13682,"Father, Dear, Father","STEWART, WILLIAM G.",2013-02-05
14007,BL80363,,13683,"George & Mildred: The Movie","SKEGGS, ROY",2013-02-06
14008,BL80456,,13683,"George & Mildred: The Movie","SKEGGS, ROY",2013-02-06
14011,BL80369,,13686,"How Green was my Valley","ZANUCK, DARRYL F.",2013-02-06
14012,BL80370,,13687,"John Miles in Concert","AU, MICHAEL",2013-02-06
14013,BL80371,,13688,"Dog Soldiers:A Bitch of a Werewolf Movie","MARSHALL, NEIL",2013-02-06
14017,BL80379,,13692,"The Long Good Friday","HANSON, BARRY",2013-02-06
14019,BL80383,,13694,"28 Days Later","MACDONALD, ANDREW",2013-02-05
14021,BL82215,,13696,"The Ipcress File(2 disc)","SALTZMAN, HARRY",2012-09-14
14025,BL80392,,13700,"Meam Machine","VAUGHN, MATHEW",2013-02-06
14027,BL80399,,13702,Bottom,"BYE ED",2013-02-06
14028,BL80400,,13703,Liam,"FREARS, Stephen",2013-02-05
14033,BL80406,,13707,"To end all wars","CUNNINGHAM, DAVID L.",2013-02-06
14036,BL80412,,13710,"Mr. Men and Little Miss: A very happy day for Mr. Happy and 12 other stories","HARGREAVES, ROAGER",2013-02-06
14038,BL80416,,13712,"Evil under the sun","BRABOURNE, JOHN",2013-02-06
14040,BL80419,,13714,"That Riviera Touch","STEWART, HUGH",2013-02-06
14042,BL80421,,13716,Arthur,"GRENHUT,ROBERT",2012-08-12
14043,BL80422,,13717,Kidnaspped,"CAINE,MICHAEL",2013-02-06
14044,BL80423,,13718,"Kevin and Perry go large","BENNET,PETER",2013-02-06
14045,BL80424,,13719,"Live and Let Die","SALTZMAN,HARRY",2013-02-06
14049,BL80429,,13723,"The Sound Barrier:Hobson Choice","LEAN,DAVID",2013-02-06
14050,BL80431,,13724,"Bob the Builder:A Christmas to Remember","COCKLE,JACCKIE",2013-02-06
14051,BL80432,,13725,"Love and Death:On Long Island","HURT,JOHN",2013-02-06
14052,BL80433,,13726,"Lara Croft:Tomb Raider","GOBDON,LAWARANCE",2013-02-06
14054,BL80437,,13728,"The Face Of Fumanchu","TOWERS,HARRY",2013-02-06
14056,BL80439,,13730,"The Peter Cook & Dudley Moore","CLEMENT,DICK",2013-02-06
14060,BL80434,,13734,"Before You Go","RITA, EDICATING",2013-02-06
14061,BL80485,,13735,"Trouble in store up in the world (2 Discs)","STEWART, HUGH",2013-02-06
14063,BL80513,,13736,"The Hitchhiker's Guide to the Galaxy","BELL J W ALLAN",2013-02-23
14064,BL80507,,13737,"Doctor who: The talons of Weng-chiang (2 Discs)","HINCHCLIFFE, PHILIP",2013-02-07
14065,BL80491,,13738,"Absolutely Feables(2 Dics)","Plowman, Jon",2013-02-06
14067,BL80494,,13740,"Doctor Who:The Two Doctors(2 Disc)","Nathan, John",2013-02-07
14068,BL80495,,13741,"The Darling Buds of May(2 Disc)","STEWARTS, ROBERTS",2013-02-07
14069,BL80009,,13742,"Monty Python and the Holy Grail","FROSTATER, MARK",2013-04-24
14072,BL80509,,13745,"Escape to River Cottage(Disc1, Disc 2)","BARING, ZAM",2013-02-06
14073,BL80446,,13746,"Growing up live","HAMILTON, HAMISH",2013-02-06
14075,BL80453,,13748,"Honeymoon in vegas","LOBEL, MIKE",2013-02-06
14077,BL80458,,13750,"Bless this house","ROGER, PETER",2012-08-24
14078,BL80563,,13750,"Bless this house","ROGER, PETER",2013-02-07
14081,BL80464,,13753,"Absolutely Fabuolus","PlOWMAN, JON",2013-02-06
14083,BL80472,,13755,"Fimbles: Tinkles, Toots and fimbling Hoots",Novel,2013-02-06
14085,BL80474,,13757,"The Rabel, punch and Judy Man","SCOTT, GORDON L T",2013-02-06
14086,BL80504,,13758,"Rosemary Thyme( 2 disc)","EASTMAN, BRAIN",2013-02-06
14087,BL80501,,13759,"Alig in DA USA (Disc 1 Disc 2)","MAZER DAN",2013-02-07
14088,BL80524,,13760,"Randall and Hopkirk (Deceased): My Late lamented friend and partner (Episodes 1-2)","FRANKEL, CYRIL",2013-02-07
14089,BL80525,,13761,"Randall and Hopkirk (Deceased): All work and Pay (Episodes 3-6)","BERMAN, MONTY",2013-02-07
14091,BL80527,,13763,"Randall and Hopkirk (Deceased): The ghost who saved (Episodes 11-14)","BERMAN, MONTY",2013-02-07
14092,BL80528,,13764,"Randall and Hopkirk (Deceased): The man from nowhere (Episodes 15-18)","BERMAN, MONTY",2013-02-07
14093,BL80529,,13765,"Randall and Hopkirk (Deceased): A Sentimental Journey (Episodes 19 - 23)  ","BERMAN, MONTY",2013-02-07
14095,BL80533,,13767,"Some mothers do 'ave' em: The complete third series","LOTTERBY, SIDNEY",2013-02-07
14097,BL80536,,13769,"Dead of Night","BALCON, MICHAEL",2013-02-07
14098,BL80537,,13770,"Went the day well","BALCON, MICHAEL",2013-02-07
14099,BL80538,,13771,"Nicholas Nickleby","CAVALCANTI, ALBERTO",2013-02-07
14100,BL80539,,13772,"Forever ealing bonus disc","BRITISH FILM PRODUCTIONS",2013-02-07
14101,BL80540,,13773,"The Blood & thunder boys in Hue & Cry","BALCON, MICHAEL",2013-02-07
14103,BL80541,,13774,"The titfield thunderbolt","TRUMAN, MICHAEL",2013-02-05
14104,BL80542,,13775,"Passport to Pimlico  ","EMMETT, E V H",2013-02-07
14107,BL80544,,13777,"Catherine cookson: The Fifteen streets","MARSHALL, RAY",2013-02-07
14108,BL80545,,13778,"Catherine cookson: Tilly Trotter","MARSHALL, RAY",2013-02-05
14110,BL80547,,13780,"The ladykillers","BALCON, MICHAEL",2013-02-07
14111,BL80548,,13781,"Kind Hearts and Coronets","BALCON, MICHAEL",2013-02-07
14113,BL80549,,13782,"The lavender hill mob","BALCON, MICHAEL",2013-02-07
14114,BL80550,,13783,"The man in a white suit","BALCON, MICHAEL",2013-02-07
14117,BL80553,,13785,"Alfred Hitchock's the 39 steps","HITCHCOCK, ALFRED",2013-02-05
14118,BL80554,,13786,"Alfred Hitchock's The Lady Vanishes","HITCHCOCK, ALFRED",2013-02-07
14119,BL80556,,13787,"Barbara Taylor Bradford: Act of Will","GLYNN, VICTOR",2013-02-05
14120,BL80557,,13788,"Barbara Taylor Bradford: Voice of the Heart","GLYNN, VICTOR",2013-02-07
14121,BL80558,,13789,"Barbara Taylor Bradford:Hold the Dream","SHERMAN, HARRY R",2013-02-07
14122,BL80560,,13790,"Barbara Taylor Bradford: Her own rules","BRICE, SANDRA TAYLOR",2013-02-07
14123,BL80561,5018011200147,13791,"Barbara Taylor Bradford: To be the best","YOUNG, AIDA",2013-02-07
14124,BL80562,,13792,"Barbara Taylor Bradford: A Woman of Substance (Disc 1, Disc 2)","BAKER, DIANE",2013-01-13
14128,BL80607,,13795,"Cutting it (Discs A, B, C) Episode 1-6","SANTER, DIEDRICK",2013-02-07
14129,BL80609,,13796,"Survivors (Discs 1, 2, 3, 4)","DUDLEY, TERENCE",2013-02-07
14131,BL80611,,13798,"Survivors (Discs 1, 2, 3, 4)","SEYMOUR, CAROLYN",2012-09-08
14133,BL80566,,13800,"The accident, the Family way","LOSEY, JOSEPH",2013-02-07
14135,BL80568,,13802,"The pub land lord: Live","MURRAY, AL",2013-02-06
14136,BL80612,,13803,"Campion: Look to the lady; Police at the funeral (Discs 1 & 2)","RIDDINGTON, KEN",2012-10-04
14140,BL80622,,13807,"Middle March (2 Discs)","MARKS, LOUIS",2013-02-07
14143,BL80627,,13809,"Richard Greene in the adventures of robin hood: The complete series one","WEINSTEIN, HANNAH",2012-07-29
14145,BL80570,,13811,"Sherlock Holmes: the prolem of thor bridge, the disappearance of lady frances carfax","COX, MICHAEL",2013-02-07
14146,BL80572,,13812,"Sherlock Holmes: the greek interpreter, the norwood builder","COX, MICHAEL",2013-02-07
14150,BL80590,,13816,"Sherlock Holmes: the Wisteria Lodge; the Bruce partington plans","DAVIS, JUNE WYNDHAM",2013-02-07
14152,BL80644,,13818,"Simon Schama: A history of Britain the complete series (6 discs DVD)","SCHAMA, SIMON",2012-08-12
14153,BL80647,,13819,"Family Guy:The Freakin' Sweet Collection","MacFarlane, Seth",2012-08-19
14156,BL80651,,13822,"The Water Babies","Jeffries, Lionel",2012-05-15
14158,BL80653,,13824,"Wire In The Blood; Vol.1","Leach, Phil",2013-02-06
14159,BL80654,,13825,"End of Days","Peter Hyams",2012-08-11
14162,BL80657,,13828,"The 6th Day Last Action Hero (Disc 1, 2)","Arnold Schwarzenegger",2013-02-05
14164,BL80661,,13830,"Nico (Above The Law)","Seagal, Steven",2012-08-04
14165,BL80662,,13831,"Treasure Island","Pieter Kroonenburg Julie Allam",2013-02-05
14166,BL80664,,13832,"Edge Of Darkness. Disc 1, Disc 2","Martin Campbell",2013-02-06
14168,BL80667,,13834,Hoodlum,"Mancuso, Frank",2013-02-05
14172,BL80673,,13838,"Drive Me Crasy","Robinson, Amy",2013-02-05
14173,BL80674,,13839,"Everyone Says I Love You","Greenhut, Robert",2013-02-05
14177,BL80679,,13843,Perfect,"Bridges, James",2013-02-05
14179,BL80684,,13845,"Hannibal (2 Disc)","De Laurentiis, Dino",2013-02-05
14181,BL80687,,13847,"House Of Wax","Foy, Bryan",2013-02-05
14182,BL80688,,13848,"Angelina Ballerina: Lights, Camera, Action","Gibbons, Ginger",2013-02-05
14183,BL80689,,13849,Sunset,"Adams, Tony",2013-02-05
14184,BL80692,5014503100421,13850,Persuasion,"Finlay, Fiona",2013-02-05
14188,BL80696,,13854,"Legend Of The Fall","Zwick, Edward",2013-02-05
14189,BL80697,,13855,"Invasion Of The Body Snatchers","Solo, Robert H",2013-02-05
14190,BL80698,,13856,"The Winter Guest","Lipper, Ken",2013-02-12
14191,BL80699,,13857,"Mrs Doubtfire","Williams, Marsha Garces",2012-09-14
14192,BL80700,,13859,"Rogue Trader, 1 Disc","Dearden, James",2013-02-05
14193,BL80702,,13860,Evolution,"Diamond, David",2013-02-07
14195,BL80705,,13862,"Miller's Crossing","Coen, Ethan",2013-02-07
14197,BL80712,,13864,"The Virgin Suicides","Coppola,Sofia",2013-02-07
14202,BL80727,,13869,"Young Sherlock Holmes","Johnson, Mark",2013-05-17
14203,BL80730,,13870,"Planet Of The Apes","Zanuck, Richard D",2013-02-07
14204,BL80731,,13871,"Panic Room","Polone, Gavin",2013-02-06
14205,BL80733,,13872,"The General's Daughter","Neufeld, Mace",2013-05-17
14207,BL80740,,13874,"Made Men","Donner, Richard",2013-02-07
14213,BL80745,,13878,"The Magical World of J K Rowling","Video Release Productions",2013-02-06
14214,BL80746,,13879,"The Raven","Corman, Roger",2013-02-07
14217,BL80751,,13882,"Angel Heart","Marshall, Alan",2012-09-14
14221,BL80755,,13886,"The Punisher","Gale Anne Hurd",2013-02-07
14222,BL80757,,13887,Entrapment,"Connery, Sean",2013-02-07
14223,BL80759,,13888,"Bonnie And Clyde","Beatty, Warren",2013-02-07
14226,BL80766,,13891,"Where The Heart Is","Boorman, John",2013-02-07
14227,BL80771,,13892,"Revengers Tragedy","Matheson, Margaret",2012-08-29
14228,BL80768,,13893,"Meeting A Bullet",,2012-08-12
14229,BL80769,,13894,"Battlefield Earth","Samaha, Elie",2013-02-07
14232,BL80773,,13897,"Dan Dare-Pilot Of The Future Disc1, Disc 2","Dane Dare Corporation Ltd.",2012-08-26
14233,BL80774,,13898,"Jason Goes To Hell: The Final Friday","Cunningham, Sean S",2013-02-07
14234,BL80776,,13899,"Swept Away","Vaughn, Mathew",2013-02-07
14235,BL80777,,13900,"A Taste Of Honey","Richardson, Tony",2013-02-07
14236,BL80778,,13901,"MIB: Men In Black","Parkes, Walter F",2012-09-14
14237,BL80779,,13902,"The Story Of The Weeping Camel","Stangassinger, Evi",2013-02-07
14238,BL80780,,13903,"Never Been Kissed","Isaac, Sandy",2012-07-29
14240,BL80783,,13905,"Matrix Reloaded Disc1, Disc2","Silver, Joel",2013-02-07
14244,BL80790,,13909,"The Remains Of The Day","Nicholas, Mike",2012-09-14
14246,BL80792,,13911,"Shout At The Devil","Kingler, Michael",2013-02-07
14247,BL80794,,13912,"The Pianist Disc1, Disc2","Polanski,Roman",2013-02-07
14248,BL80795,,13913,Bandits,"Amritraj, Ashok",2012-08-24
14250,BL80799,,13915,"The Official Review Of Ireland's 2002 FIFA World Cup Korea Japan","Hargaden, Cormac",2013-02-07
14251,BL80800,,13916,Simone,"Andrew Niccol",2012-07-29
14252,BL80801,,13917,"Mad Dog And Glory","Fina, Barbara De",2013-02-07
14253,BL80803,,13918,"White Sands","Sackheim, William",2012-08-23
14254,BL80807,5014293159852,13919,"A Lesson Before Dying","Benedetti, Robert",2013-02-07
14256,BL80810,,13921,"The Lord Of The Rings","Zaentz, Saul",2013-02-07
14257,BL80811,,13922,"Hudson Hawk","Silver, Joel",2013-05-17
14258,BL80812,,13923,Mash,"Preminger, Ingo",2013-02-07
14260,BL80815,5014437824233,13925,"Urban Cowboy","Evans, Robert",2013-02-07
14261,BL80816,,13926,Spider,"Bailey, Catherine",2013-02-07
14263,BL80819,,13928,"The Last Time I Saw Paris","Brooks, Richard",2013-02-07
14264,BL80820,,13929,"Meet John Doe","Capra, Frank",2012-12-01
14265,BL80821,,13930,"The Amazing Adventure","Zeisler, Alfred",2013-02-07
14266,BL80822,,13931,"Penny Serenade","Stevens, George",2013-02-07
14269,BL80828,,13934,"The Closer You Get","Pasolini, Uberto",2013-02-07
14272,BL80832,,13937,"Fight Club","Linson, Art",2013-02-07
14274,BL80835,,13939,"Goodness Gracious Me",,2013-02-07
14275,BL80882,,13939,"Goodness Gracious Me",,2012-08-19
14276,BL80836,,13940,"Bend It Like Beckham","Nayar, Deepak",2011-03-14
14278,BL80839,,13942,"Universal Soldier","Shapiro, Allen",2013-02-07
14280,BL80842,,13944,"Terminator 3: Rise Of The Machines: Disc1, Disc2","Kassar, Mariof",2013-02-07
14283,BL80846,,13947,Matilda,"Ruddy, Albert",2012-08-12
14284,BL80847,,13948,"Fever Pitch","Posey, Amanda",2013-02-07
14285,BL80848,,13949,"A Night To Remember (Side A, Side B)","MacQuitty, William",2013-02-07
14293,BL80858,,13956,"The Real Ghostbusters: Sea Fright","Reitman, Ivan",2013-09-25
14297,BL80867,5035822610262,13960,"The Mask Of Zorro","Claybourne, Doug",2013-09-25
14298,BL80869,,13961,"Alien 3","Carroll, Gordon",2013-02-07
14299,BL80871,,13962,"Mystery Men","Gordon, Lawrence",2012-12-01
14302,BL80875,,13965,"Dancing Party","BBC Worldwide",2013-02-07
14303,BL80879,,13966,"The Birthday Party","Rosenberg, Max J",2013-02-06
14304,BL80880,,13967,"Paul McKenna Quit Smoking Now","Philips, Charlie",2013-02-07
14307,BL80885,,13970,"Rising Arizona","Coen, Ethan",2013-02-07
14312,BL80895,,13974,"Captain Jack","Goldschmidt, John",2013-02-06
14313,BL80898,,13975,"When Saturday Comes","Dally, James",2013-02-07
14315,BL80901,,13977,"Battle Of Britain: Disc1, Disc 2","Saltzman, Wilfred",2012-09-01
